paper_id,DOI,title,first_author,journal,year,sub_field,cited_by_count
30,10.1016/j.cherd.2024.05.019,Optimization and predictive modeling of membrane based produced water treatment using machine learning models,Hasnain Ahmad Saddiqi,Chemical Engineering Research and Design,2024,membrane,17.0
31,10.1016/j.compchemeng.2022.107738,Modeling phosphorous dynamics in a wastewater treatment process using Bayesian optimized LSTM,Laura Debel Hansen,Computers &amp; Chemical Engineering,2022,WWTP,55.0
32,10.1016/j.crgsc.2021.100078,Bio-coagulation-flocculation (BCF) of municipal solid waste leachate using Picralima nitida extract: RSM and ANN modelling,Chinenye Adaobi Igwegbe,Current Research in Green and Sustainable Chemistry,2021,coagulation,70.0
33,10.1016/j.desal.2024.117951,Machine learning models of intermittent operation of RO wellhead water treatment for salinity reduction and nitrate removal,Yang Zhou,Desalination,2024,membrane,7.0
34,10.1016/j.dwt.2024.100736,Optimization control of wastewater treatment based on neural network and multi-objective optimization algorithm,Xijun Zhang,Desalination and Water Treatment,2024,control,4.0
35,10.1016/j.dwt.2024.100895,A study on a hybrid water quality prediction model using sequence to sequence learning based LSTM And machine learning,Sukmin Yoon,Desalination and Water Treatment,2024,monitoring,4.0
36,10.1016/j.dwt.2025.101238,Harnessing machine learning for transmembrane pressure prediction in MBR systems during textile wastewater treatment,Onaira Zahoor,Desalination and Water Treatment,2025,membrane,4.0
37,10.1016/j.dwt.2025.101386,An insight into real-time monitoring and predictive modelling of ultrafiltration pretreatment for flow rate and fouling mitigation in seawater desalination,Kamil Kayode Katibi,Desalination and Water Treatment,2025,membrane,2.0
38,10.1016/j.dwt.2025.101451,Safe reinforcement learning for wastewater treatment with an input convex safety critic,Jiajun Huang,Desalination and Water Treatment,2025,control,0.0
39,10.1016/j.energy.2022.126449,"Optimisation and performance evaluation of response surface methodology (RSM), artificial neural network (ANN) and adaptive neuro-fuzzy inference system (ANFIS) in the prediction of biogas production from palm oil mill effluent (POME)",Daniel Jia Sheng Chong,Energy,2023,sludge,89.0
40,10.1016/j.eng.2020.07.027,Development of a Novel Feedforward Neural Network Model Based on Controllable Parameters for Predicting Effluent Total Nitrogen,Zihao Zhao,Engineering,2021,WWTP,26.0
41,10.1016/j.engappai.2020.103822,A data-driven method for detecting and diagnosing causes of water quality contamination in a dataset with a high rate of missing values,Raymond Houé Ngouna,Engineering Applications of Artificial Intelligence,2020,monitoring,22.0
42,10.1016/j.engappai.2024.107992,Deep learning based simulators for the phosphorus removal process control in wastewater treatment via deep reinforcement learning algorithms,Esmaeel Mohammadi,Engineering Applications of Artificial Intelligence,2024,control,20.0
43,10.1016/j.envint.2025.109923,Predicting regulated and emerging disinfection byproducts in small drinking water catchments using machine learning,Boris Droz,Environment International,2025,DBP,0.0
44,10.1016/j.envres.2024.120108,Application of machine learning in ultrasonic pretreatment of sewage sludge: Prediction and optimization,Jie Zhang,Environmental Research,2024,sludge,7.0
45,10.1016/j.envsoft.2025.106443,Multivariate functional data analysis and machine learning methods for anomaly detection in water quality sensor data,Xurxo Rigueira,Environmental Modelling &amp; Software,2025,monitoring,2.0
46,10.1016/j.eswa.2025.127180,Application of Soft Actor-Critic algorithms in optimizing wastewater treatment with time delays integration,Esmaeel Mohammadi,Expert Systems with Applications,2025,control,13.0
47,10.1016/j.heliyon.2023.e21351,Predicting biochemical oxygen demand in wastewater treatment plant using advance extreme learning machine optimized by Bat algorithm,Hayat Mekaoussi,Heliyon,2023,WWTP,19.0
48,10.1016/j.ifacol.2022.11.010,Deep Learning Based Soft Sensor to Predict Total Suspended Solids of Refinery Water Treatment Plant Using Real Process Data,Aycan Sapmaz,IFAC-PapersOnLine,2022,monitoring,4.0
49,10.1016/j.jenvman.2023.117416,Operational parameter prediction of electrocoagulation system in a rural decentralized water treatment plant by interpretable machine learning model,Bowen Li,Journal of Environmental Management,2023,coagulation,17.0
50,10.1016/j.jenvman.2023.118594,Machine learning methods for anomaly classification in wastewater treatment plants,Francesca Bellamoli,Journal of Environmental Management,2023,monitoring,43.0
51,10.1016/j.jenvman.2023.119900,Effluent quality prediction of the sewage treatment based on a hybrid neural network model: Comparison and application,Zeyu Wang,Journal of Environmental Management,2024,WWTP,13.0
52,10.1016/j.jenvman.2024.120510,Genetic programming expressions for effluent quality prediction: Towards AI-driven monitoring and management of wastewater treatment plants,Ahmed Elsayed,Journal of Environmental Management,2024,WWTP,27.0
53,10.1016/j.jenvman.2024.121907,Learning a neural network-based soft sensor with double-errors parallel optimization towards effluent variable prediction in wastewater treatment plants,Dong Li,Journal of Environmental Management,2024,monitoring,6.0
54,10.1016/j.jenvman.2024.123680,Series-connected data-based model to estimate effluent chemical oxygen demand in industrial wastewater treatment process,Jani Tomperi,Journal of Environmental Management,2025,WWTP,2.0
55,10.1016/j.jenvman.2025.124627,Machine learning-based analysis of microplastic-induced changes in anaerobic digestion parameters influencing methane yield,Zhenghui Gao,Journal of Environmental Management,2025,sludge,6.0
56,10.1016/j.jenvman.2025.124814,Development of artificial neural network model for anaerobic digestion-elutriated phase treatment,Moonil Kim,Journal of Environmental Management,2025,sludge,1.0
57,10.1016/j.jenvman.2025.126144,Performance analysis of machine learning algorithms for the prediction of disinfection byproducts formation during chlorination: Effect of background water characteristics,Gamze Ersan,Journal of Environmental Management,2025,DBP,2.0
58,10.1016/j.jenvman.2025.126648,An artificial intelligence modeling framework based on microbial community structure prediction enhances the pollutant removal efficiency of the algae-bacteria granular sludge system,Zhe Liu,Journal of Environmental Management,2025,sludge,2.0
59,10.1016/j.jhydrol.2020.125574,Radial basis function artificial neural network (RBF ANN) as well as the hybrid method of RBF ANN and grey relational analysis able to well predict trihalomethanes levels in tap water,Huachang Hong,Journal of Hydrology,2020,DBP,140.0
60,10.1016/j.jksus.2024.103409,Real-time water quality monitoring using AI-enabled sensors: Detection of contaminants and UV disinfection analysis in smart urban water systems,Yeliz Durgun,Journal of King Saud University - Science,2024,monitoring,38.0
61,10.1016/j.jwpe.2023.104048,A data analytics pipeline to optimize polymer dose strategy in a semi-continuous multi-feed dewatering system,Sebastian O.N. Topalian,Journal of Water Process Engineering,2023,sludge,2.0
62,10.1016/j.jwpe.2023.104752,"Optimisation and economic analysis of industrial-scale anaerobic co-digestion (ACoD) of palm oil mill effluent (POME) and decanter cake (DC) using machine learning models: A comparative study of Gradient Boosting Machines (GBM), K-nearest neighbours (KNN), and random forest (RF)",Pang Bo Yang,Journal of Water Process Engineering,2024,sludge,10.0
63,10.1016/j.jwpe.2024.105695,Least squares support vector regression-based modeling of ammonia oxidation using immobilized nanoFeCu,Joyce Chen Yen Ngu,Journal of Water Process Engineering,2024,WWTP,3.0
64,10.1016/j.jwpe.2024.105772,Deep learning-based image analysis for filamentous and floc-forming bacteria in wastewater treatment,Sama Al-Ani,Journal of Water Process Engineering,2024,monitoring,9.0
65,10.1016/j.jwpe.2024.105932,Predicting membrane cleaning effectiveness in a full-scale water treatment plant using an artificial neural network model,Ahmed Elsayed,Journal of Water Process Engineering,2024,membrane,9.0
66,10.1016/j.jwpe.2024.106185,Prediction of wastewater quality parameters using adaptive and machine learning models: A South African case study,Abdul Gaffar Sheik,Journal of Water Process Engineering,2024,WWTP,16.0
67,10.1016/j.jwpe.2025.108108,Machine learning modeling of microplastics removal by coagulation in water and wastewater treatment,Ahmad Hosseinzadeh,Journal of Water Process Engineering,2025,coagulation,7.0
68,10.1016/j.jwpe.2025.108420,Improving aeration efficiency in wastewater treatment systems through collaborative reinforcement learning: A multi-objective approach to overshoot and settling time reduction,Jiatong Wang,Journal of Water Process Engineering,2025,control,5.0
69,10.1016/j.jwpe.2025.108539,AI-driven multivariate time series forecasting of transmembrane pressure in ultrafiltration: A stationarity-aware approach,Dongju Kim,Journal of Water Process Engineering,2025,membrane,2.0
70,10.1016/j.jwpe.2025.108734,Beyond point predictions: Quantifying uncertainty in E. coli ML-based monitoring,David Abert-Fernández,Journal of Water Process Engineering,2025,monitoring,1.0
71,10.1016/j.marpolbul.2022.114493,Water quality modelling using principal component analysis and artificial neural network,Aminu Ibrahim,Marine Pollution Bulletin,2023,monitoring,85.0
72,10.1016/j.memsci.2025.124133,Development of physics-informed machine-learning models to enhance understanding and prediction of membrane fouling,Sadaf Saeedi Garakani,Journal of Membrane Science,2025,membrane,17.0
73,10.1016/j.memsci.2025.124346,AI-assisted prediction and optimization of micropollutants removal with forward osmosis membranes,Mehryar Jafari,Journal of Membrane Science,2025,membrane,7.0
74,10.1016/j.mlwa.2023.100475,Intelligent framework for coagulant dosing optimization in an industrial-scale seawater reverse osmosis desalination plant,Muhammad Ghifari Ridwan,Machine Learning with Applications,2023,coagulation,5.0
75,10.1016/j.renene.2024.121347,Optimization and prediction of biogas yield from pretreated Ulva Intestinalis Linnaeus applying statistical-based regression approach and machine learning algorithms,Uyiosa Osagie Aigbe,Renewable Energy,2024,sludge,25.0
76,10.1016/j.rineng.2025.104626,Optimizing membrane bioreactor performance in wastewater treatment using machine learning and meta-heuristic techniques,Usman M. Ismail,Results in Engineering,2025,WWTP,22.0
77,10.1016/j.rineng.2025.106253,Quantifying de facto reuse at a drinking water intake with machine learning,Emily Clements,Results in Engineering,2025,monitoring,1.0
78,10.1016/j.rineng.2025.106879,"Optimization of denitrification carbon source, nitrification aeration and coagulants dosing with artificial intelligence in full-scale municipal wastewater treatment",De-Yang Show,Results in Engineering,2025,control,3.0
79,10.1016/j.scitotenv.2021.147138,A machine learning framework to improve effluent quality control in wastewater treatment plants,Dong Wang,Science of The Total Environment,2021,WWTP,188.0
80,10.1016/j.scitotenv.2022.155070,Interpretation of ensemble learning to predict water quality using explainable artificial intelligence,Jungsu Park,Science of The Total Environment,2022,monitoring,202.0
81,10.1016/j.seppur.2023.124627,Machine learning and computational approaches for designing membrane distillation modules,Sarah Almahfoodh,Separation and Purification Technology,2023,membrane,11.0
82,10.1016/j.solener.2023.06.007,Harnessing the power of neural networks for the investigation of solar-driven membrane distillation systems under the dynamic operation mode,Pooria Behnam,Solar Energy,2023,membrane,12.0
83,10.1016/j.watres.2023.119650,Dynamic alpha factor prediction with operating data - a machine learning approach to model oxygen transfer dynamics in activated sludge,M. Schwarz,Water Research,2023,WWTP,11.0
84,10.1016/j.watres.2023.119874,Forecasting and Optimizing Dual Media Filter Performance via Machine Learning,Sina Moradi,Water Research,2023,membrane,26.0
85,10.1016/j.watres.2023.120075,Predicting microbial water quality in on-site water reuse systems with online sensors,Eva Reynaert,Water Research,2023,monitoring,17.0
86,10.1016/j.watres.2023.121018,Real-time water quality prediction in water distribution networks using graph neural networks with sparse monitoring data,Zilin Li,Water Research,2024,monitoring,103.0
87,10.1016/j.wroa.2024.100244,High resolution data visualization and machine learning prediction of free chlorine residual in a green building water system,S. Wei,Water Research X,2024,monitoring,5.0
88,10.1021/acs.est.3c00353,Systematic Performance Evaluation of Reinforcement Learning Algorithms Applied to Wastewater Treatment Control Optimization,Henry C. Croll,Environmental Science &amp; Technology,2023,control,44.0
89,10.1021/acs.est.4c12835,Predicting Membrane Fouling of Submerged Membrane Bioreactor Wastewater Treatment Plants Using Machine Learning,Yunyi Zhu,Environmental Science &amp; Technology,2025,membrane,20.0
90,10.1021/acs.est.5c04143,Multimodal Learning-Assisted Identification of Effluent Water Quality and Toxicity in Wastewater Treatment Plants,Jie Hu,Environmental Science &amp; Technology,2025,WWTP,8.0
91,10.1021/acs.est.5c05051,Biochar-Augmented Anaerobic Digestion System: Insights from an Interpretable Stacking Ensemble Deep Learning,Muzammil Khan,Environmental Science &amp; Technology,2025,sludge,8.0
92,10.1021/acs.est.5c06257,A Multi-Model Ensemble for Advanced Prediction of Reverse Osmosis Performance in Full-Scale Zero-Liquid Discharge Systems,Haojie Ding,Environmental Science &amp; Technology,2025,membrane,6.0
93,10.1021/acs.iecr.3c00275,Understanding Single-Protein Fouling in Micro- and Ultrafiltration Systems via Machine-Learning-Based Models,Henry J. Tanudjaja,Industrial &amp; Engineering Chemistry Research,2023,membrane,15.0
94,10.1021/acs.iecr.3c03067,Modeling an Adaptive Hybrid Soft Sensor with Co-training Learning toward Applications in Wastewater Treatment,Jing Wu,Industrial &amp; Engineering Chemistry Research,2023,WWTP,3.0
95,10.1021/acsenvironau.2c00072,Development of a Soft Sensor Using Machine Learning Algorithms for Predicting the Water Quality of an Onsite Wastewater Treatment System,Hsiang-Yang Shyu,ACS Environmental Au,2023,monitoring,46.0
96,10.1021/acsestengg.1c00316,Data-Driven Based In-Depth Interpretation and Inverse Design of Anaerobic Digestion for CH<sub>4</sub>-Rich Biogas Production,Jie Li,ACS ES&amp;T Engineering,2022,sludge,85.0
97,10.1021/acsestengg.2c00090,Design of a Soft Sensor for Monitoring Phosphorous Uptake in an EBPR Process,Wenjin Zhang,ACS ES&amp;T Engineering,2022,WWTP,7.0
98,10.1021/acsestengg.2c00156,Novel Intelligent Control Framework for WWTP Optimization To Achieve Stable and Sustainable Operation,Kuanliang Feng,ACS ES&amp;T Engineering,2022,control,23.0
99,10.1021/acsestengg.3c00368,Predicting and Evaluating Different Pretreatment Methods on Methane Production from Sludge Anaerobic Digestion via Automated Machine Learning with Ensembled Semisupervised Learning,Xiaoshi Cheng,ACS ES&amp;T Engineering,2023,sludge,12.0
100,10.1021/acsestengg.3c00435,Feature Engineering and Supervised Machine Learning to Forecast Biogas Production during Municipal Anaerobic Co-Digestion,Hunter W. Schroer,ACS ES&amp;T Engineering,2023,sludge,18.0
101,10.1021/acsestengg.4c00042,Long-Term Statistical Process Monitoring of an Ultrafiltration Water Treatment Process,Taylor R. Grimm,ACS ES&amp;T Engineering,2024,membrane,1.0
102,10.1021/acsestengg.4c00276,Predicting Biogas Yield after Microwave Pretreatment Using Artificial Neural Network Models: Performance Evaluation and Method Comparison,Yuxuan Li,ACS ES&amp;T Engineering,2024,sludge,6.0
103,10.1021/acsestengg.5c00054,Prediction and Optimization of Ammonia Removal in Direct Aeration Process Based on Wastewater Properties: An Integrated Experimental and Machine Learning Approach,Sheng-Yu Huang,ACS ES&amp;T Engineering,2025,WWTP,4.0
104,10.1021/acsestengg.5c00493,Machine Learning-Assisted Expert Control in Wastewater Aeration Treatment Process Application,Zhaoyang Xiong,ACS ES&amp;T Engineering,2025,control,3.0
105,10.1021/acsestwater.3c00020,Predicting THM Formation and Revealing Its Contributors in Drinking Water Treatment Using Machine Learning,Rabbi Sikder,ACS ES&amp;T Water,2023,DBP,28.0
106,10.1021/acsestwater.3c00236,Machine Learning Algorithm Integrated with Real-Time <i>In Situ</i> Sensors and Physiochemical Principle-Driven Soft Sensors toward an Anaerobic Digestion-Data Fusion Framework,Xingyu Wang,ACS ES&amp;T Water,2023,sludge,11.0
107,10.1021/acsestwater.4c00040,Enhanced Insights into Effluent Prediction in Wastewater Treatment Plants: Comprehensive Deep Learning Model Explanation Based on SHAP,Ruojia Li,ACS ES&amp;T Water,2024,WWTP,35.0
108,10.1021/acsestwater.4c00073,"Deep Learning-Based Multiobjective Optimization for Balancing Effluent Quality, Operational Cost, and Greenhouse Gas Emissions in Wastewater Treatment Plant Control",Hao Lu,ACS ES&amp;T Water,2024,control,11.0
109,10.1021/acsestwater.4c00473,Flux Decline Prediction in Dead-End Ultrafiltration Combining Fluorescence Spectroscopy and Mechanism-Informed Machine Learning,Matteo Tagliavini,ACS ES&amp;T Water,2024,membrane,5.0
110,10.1038/s41545-021-00108-3,Detection of untreated sewage discharges to watercourses using machine learning,Peter Hammond,npj Clean Water,2021,monitoring,36.0
111,10.1038/s41545-021-00125-2,Forecasting point-of-consumption chlorine residual in refugee settlements using ensembles of artificial neural networks,Michael De Santi,npj Clean Water,2021,monitoring,10.0
112,10.1038/s41545-024-00308-7,Combined advanced oxidation dye-wastewater treatment plant: design and development with data-driven predictive performance modeling,Pankaj Singh Chauhan,npj Clean Water,2024,WWTP,23.0
113,10.1038/s41545-024-00361-2,Data driven multiple objective optimization of AAO process towards wastewater effluent biological toxicity reduction,Jie Hu,npj Clean Water,2024,WWTP,13.0
114,10.1038/s41545-025-00510-1,Knowledge embedding and interpretable machine learning optimize comprehensive benefits for water treatment,Yu-Qi Wang,npj Clean Water,2025,coagulation,2.0
115,10.1038/s41598-021-03881-w,Application of convolutional neural networks for prediction of disinfection by-products,Nicolás M. Peleato,Scientific Reports,2022,DBP,27.0
116,10.1038/s41598-023-34657-z,"Biological 2,4,6-trinitrotoluene removal by extended aeration activated sludge: optimization using artificial neural network",Hossein Karimi,Scientific Reports,2023,WWTP,14.0
117,10.1038/s41598-023-36333-8,Development and application of random forest regression soft sensor model for treating domestic wastewater in a sequencing batch reactor,Qiu Cheng,Scientific Reports,2023,WWTP,48.0
118,10.1038/s41598-023-50805-x,Modeling of two-stage anaerobic onsite wastewater sanitation system to predict effluent soluble chemical oxygen demand through machine learning,Rajshree Mathur,Scientific Reports,2024,sludge,22.0
119,10.1038/s41598-024-53407-3,Performance analysis and modelling of circular jets aeration in an open channel using soft computing techniques,Diksha Puri,Scientific Reports,2024,WWTP,11.0
120,10.1038/s41598-024-53746-1,Using symbolic machine learning to assess and model substance transport and decay in water distribution networks,Daniele Biagio Laucelli,Scientific Reports,2024,monitoring,4.0
121,10.1038/s41598-024-83277-8,Water quality prediction and carbon reduction mechanisms in wastewater treatment in Northwest cities using Random Forest Regression model,Jingjing Sun,Scientific Reports,2024,WWTP,18.0
122,10.1038/s41598-025-09463-4,Predicting water quality index using stacked ensemble regression and SHAP based explainable artificial intelligence,Rakesh Choudhary,Scientific Reports,2025,monitoring,22.0
123,10.1038/s41598-025-15155-w,Predictive modeling of coagulant dosing in drilling wastewater treatment using artificial neural networks,Mahyar Kalhormohammadi,Scientific Reports,2025,coagulation,2.0
124,10.1039/c9ra06609h,A novel method for total chlorine detection using machine learning with electrode arrays,Zhe Li,RSC Advances,2019,monitoring,7.0
125,10.1039/d2ra06952k,A method based on a one-dimensional convolutional neural network for UV-vis spectrometric quantification of nitrate and COD in water under random turbidity disturbance scenario,Meng Xia,RSC Advances,2023,monitoring,24.0
126,10.1039/d3ew00181d,Successful prediction for coagulant dosage and effluent turbidity of a coagulation process in a drinking water treatment plant based on the Elman neural network and random forest models,Dongsheng Wang,Environmental Science: Water Research &amp; Technology,2023,coagulation,8.0
127,10.1039/d3ew00829k,Enhanced data-driven monitoring of wastewater treatment plants using the Kolmogorov–Smirnov test,K. Ramakrishna Kini,Environmental Science: Water Research &amp; Technology,2024,monitoring,9.0
128,10.1039/d3va00124e,Ensemble hybrid machine learning to simulate dye/divalent salt fractionation using a loose nanofiltration membrane,Nadeem Baig,Environmental Science: Advances,2023,membrane,20.0
129,10.1039/d3va00170a,Using a supervised machine learning approach to predict water quality at the Gaza wastewater treatment plant,Mazen S. Hamada,Environmental Science: Advances,2024,WWTP,34.0
130,10.1039/d5ra00933b,Water chemical oxygen demand prediction based on a one-dimensional multi-scale feature fusion convolutional neural network and ultraviolet-visible spectroscopy,Jingwei Li,RSC Advances,2025,monitoring,2.0
131,10.1051/e3sconf/202568000049/pdf,Data Science for Detecting the DO Elbow: Saving Energy During Aeration Cycles,,not_specified,2024,control,
132,10.1061/joeedu.eeeng-7467,Unit Operation and Process Modeling with Physics-Informed Machine Learning,Haochen Li,Journal of Environmental Engineering,2024,WWTP,13.0
133,10.1061/joeedu.eeeng-7969,Enhancing Coagulation Prediction in Water Treatment Using a Similarity Score–Based Piecewise Machine Learning Model,Jie Zhang,Journal of Environmental Engineering,2025,coagulation,2.0
134,10.1061/joeedu.eeeng-7997,Modeling of Wastewater Treatment and Dynamic Optimization Control of Dissolved Oxygen Concentration in Aeration Tanks,Wanjie Ding,Journal of Environmental Engineering,2025,control,3.0
135,10.1080/00986445.2024.2321447,The least-square support vector regression model for the dyes and heavy metal ions removal prediction,Wan Sieng Yeo,Chemical Engineering Communications,2024,WWTP,3.0
136,10.1080/03067319.2020.1849663,Comparative study of RSM and ANN for multiple target optimisation in coagulation/precipitation process of contaminated waters: mechanism and theory,Somayeh Golbaz,International Journal of Environmental Analytical Chemistry,2020,coagulation,29.0
137,10.1088/1755-1315/1136/1/012047,Predicting iron exceedance risk in drinking water distribution systems using machine learning,Ehsan Kazemi,IOP Conference Series: Earth and Environmental Science,2023,monitoring,2.0
138,10.1088/1755-1315/1136/1/012048,A data-driven model for the prediction of chlorine losses in water distribution trunk mains,Grigorios Kyritsakas,IOP Conference Series: Earth and Environmental Science,2023,monitoring,3.0
139,10.1088/1755-1315/926/1/012048,The application of artificial neural network for quality prediction of industrial standard water,Y Muharni,IOP Conference Series: Earth and Environmental Science,2021,monitoring,1.0
140,10.1088/2515-7620/ade03b,Predicting biogas production in real scale anaerobic digester under dynamic conditions with machine learning approach,M. Erdem Isenkul,Environmental Research Communications,2025,sludge,0.0
141,10.1088/2631-8695/ae1dc9,An Att-LSTM based soft sensor for wastewater BOD prediction with local explanation and global feature selection using LIME,Anqi Fu,Engineering Research Express,2025,WWTP,1.0
142,10.1093/jigpal/jzaf035,Development of virtual sensors using multi-plant data for wastewater treatment applications: a case study on nitrogen prediction in effluents,Míriam Timiraos,Logic Journal of the IGPL,2026,WWTP,0.0
143,10.1108/agjsr-07-2022-0129,Removal efficiency prediction model based on the artificial neural network for pollution prevention in wastewater treatment plants,Hussein Y.H. Alnajjar,Arab Gulf Journal of Scientific Research,2023,WWTP,2.0
144,10.1108/meq-12-2019-0281,Predicting of proactive environmental management for unhairing wastewater treatment in Tunisia using neural network learning algorithms,Mohamed Turki,Management of Environmental Quality: An International Journal,2020,coagulation,1.0
145,10.1109/access.2019.2900071,A Biological Mechanism Based Structure Self-Adaptive Algorithm for Feedforward Neural Network and Its Engineering Applications,Guang Han,IEEE Access,2019,WWTP,9.0
146,10.1109/access.2019.2939289,Optimized Forecast Components-SVM-Based Fault Diagnosis With Applications for Wastewater Treatment,Hongchao Cheng,IEEE Access,2019,monitoring,21.0
147,10.1109/access.2019.2950852,LSTM-Based Wastewater Treatment Plants Operation Strategies for Effluent Quality Improvement,Ivan Pisa,IEEE Access,2019,control,63.0
148,10.1109/access.2019.2956494,Outlier Detection for Monitoring Data Using Stacked Autoencoder,Fangyi Wan,IEEE Access,2019,monitoring,44.0
149,10.1109/access.2020.3028683,Effluent Quality Prediction of Papermaking Wastewater Treatment Processes Using Stacking Ensemble Learning,Hongbin Liu,IEEE Access,2020,WWTP,21.0
150,10.1109/access.2020.3030820,Forecasting of Wastewater Treatment Plant Key Features Using Deep Learning-Based Models: A Case Study,Tuoyuan Cheng,IEEE Access,2020,WWTP,115.0
